player,team,position,x,y
David Joel Williams,ATK Mohun Bagan,Left Center Midfield,41.1,40.8
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,46.3,44.4
Komal Thatal,Jamshedpur,Left Midfield,82.4,27.3
Komal Thatal,Jamshedpur,Left Midfield,93.7,20.9
Jitendra Singh,Jamshedpur,Right Defensive Midfield,55.4,43.4
Pronay Halder,Jamshedpur,Left Defensive Midfield,26.4,13.0
Nerijus Valskis,Jamshedpur,Right Center Forward,90.7,12.4
Komal Thatal,Jamshedpur,Left Midfield,80.9,20.3
Roy Krishna,ATK Mohun Bagan,Center Forward,114.1,52.6
Jordan Murray,Jamshedpur,Right Center Forward,55.0,10.0
Alexandre Monteiro de Lima,Jamshedpur,Left Center Forward,46.0,19.4
Narender Gahlot,Jamshedpur,Left Defensive Midfield,46.5,67.5
Devendra Dhaku Murgaokar,Goa,Left Center Forward,42.0,65.8
Boris Singh Thangjam,Jamshedpur,Right Midfield,9.9,68.2
Komal Thatal,Jamshedpur,Left Midfield,14.4,39.5
Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,103.2,38.0
Pritam Kotal,ATK Mohun Bagan,Left Center Back,5.8,70.1
Narender Gahlot,Jamshedpur,Left Defensive Midfield,20.1,21.8
Laldinliana Renthlei,Jamshedpur,Right Back,19.7,60.3
Boris Singh Thangjam,Jamshedpur,Right Midfield,19.5,50.9
Naorem Mahesh Singh,East Bengal,Right Midfield,62.6,74.1
Sourav Das,East Bengal,Right Center Midfield,66.2,57.2
Tomislav Mrčela,East Bengal,Right Center Back,5.4,72.4
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,64.7,17.6
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,44.2,73.2
Naorem Mahesh Singh,East Bengal,Right Midfield,78.7,74.1
Hira Mondal,East Bengal,Left Back,44.3,6.4
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,72.0,35.5
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,68.2,33.1
Naorem Mahesh Singh,East Bengal,Right Midfield,52.5,75.0
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,43.7,43.6
Jorge Ortiz Mendoza,Goa,Right Center Forward,103.1,75.2
Franjo Prce,East Bengal,Left Center Back,14.6,3.6
Bikash Jairu,East Bengal,Left Midfield,25.1,5.1
Amir Derviševič,East Bengal,Left Center Midfield,39.0,11.9
Amir Derviševič,East Bengal,Left Center Midfield,60.0,21.1
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,65.9,24.5
Seriton Fernandes,Goa,Right Wing Back,113.6,69.5
Jorge Ortiz Mendoza,Goa,Right Center Forward,113.4,80.0
Tomislav Mrčela,East Bengal,Right Center Back,2.0,15.5
Sourav Das,East Bengal,Right Center Midfield,58.9,27.1
Amir Derviševič,East Bengal,Left Center Midfield,60.8,22.8
Saviour Gama,Goa,Left Wing Back,87.1,40.6
Sourav Das,East Bengal,Right Center Midfield,73.2,59.8
Sourav Das,East Bengal,Right Center Midfield,78.8,35.0
Aibanbha Kupar Dohling,Goa,Left Center Back,56.9,4.4
Bikash Jairu,East Bengal,Left Midfield,32.4,24.7
Sourav Das,East Bengal,Right Center Midfield,37.3,39.1
Naorem Mahesh Singh,East Bengal,Right Midfield,33.4,62.8
Naorem Mahesh Singh,East Bengal,Right Midfield,31.7,66.9
Naorem Mahesh Singh,East Bengal,Right Midfield,32.6,47.2
Franjo Prce,East Bengal,Left Center Back,19.5,21.5
Iván Garrido González,Goa,Center Back,26.1,10.9
Aibanbha Kupar Dohling,Goa,Left Center Back,19.3,14.1
Antonio Perošević,East Bengal,Right Center Forward,108.5,66.9
Naorem Mahesh Singh,East Bengal,Right Midfield,102.1,71.2
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,109.8,34.4
Saviour Gama,Goa,Left Wing Back,36.6,8.7
Sourav Das,East Bengal,Right Center Midfield,59.5,50.4
Seriton Fernandes,Goa,Right Wing Back,98.0,72.5
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,36.6,15.1
Franjo Prce,East Bengal,Left Center Back,14.0,16.4
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,22.5,9.1
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,114.5,68.0
Seriton Fernandes,Goa,Right Wing Back,72.8,76.5
Glan Martins,Goa,Right Defensive Midfield,37.3,76.7
Glan Martins,Goa,Right Defensive Midfield,48.2,76.5
Amir Derviševič,East Bengal,Left Center Midfield,57.6,21.8
Bikash Jairu,East Bengal,Left Midfield,63.6,16.8
Raju Eknath Gaikwad,East Bengal,Right Back,8.6,66.0
Naorem Mahesh Singh,East Bengal,Right Midfield,42.8,55.5
Raju Eknath Gaikwad,East Bengal,Right Back,30.4,67.7
Saviour Gama,Goa,Left Wing Back,88.2,11.1
Raju Eknath Gaikwad,East Bengal,Right Back,27.7,68.2
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,104.7,38.9
Jorge Ortiz Mendoza,Goa,Right Center Forward,98.4,14.1
Naorem Mahesh Singh,East Bengal,Right Midfield,55.7,68.8
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,66.6,21.8
Franjo Prce,East Bengal,Left Center Back,13.3,16.2
Seriton Fernandes,Goa,Right Wing Back,106.1,71.2
Sourav Das,East Bengal,Right Center Midfield,46.7,39.3
Antonio Perošević,East Bengal,Right Center Forward,85.2,32.0
Bikash Jairu,East Bengal,Left Midfield,33.4,5.5
Saviour Gama,Goa,Left Wing Back,97.8,7.2
Glan Martins,Goa,Right Defensive Midfield,69.8,28.6
Iván Garrido González,Goa,Center Back,26.6,73.1
Amir Derviševič,East Bengal,Left Center Midfield,111.1,20.3
Aibanbha Kupar Dohling,Goa,Left Center Back,8.8,49.6
Aibanbha Kupar Dohling,Goa,Left Center Back,7.5,49.6
Devendra Dhaku Murgaokar,Goa,Left Center Forward,29.8,72.7
Hira Mondal,East Bengal,Left Back,73.2,9.8
Saviour Gama,Goa,Left Wing Back,62.7,11.3
Glan Martins,Goa,Right Defensive Midfield,48.0,64.3
Antonio Perošević,East Bengal,Right Center Forward,93.7,29.7
Antonio Perošević,East Bengal,Right Center Forward,110.0,41.4
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,45.4,39.7
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,44.1,54.7
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,61.6,71.0
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,76.0,44.2
Amir Derviševič,East Bengal,Left Center Midfield,65.5,45.9
Sourav Das,East Bengal,Right Center Midfield,74.5,33.1
Naorem Mahesh Singh,East Bengal,Right Midfield,81.3,55.5
Naorem Mahesh Singh,East Bengal,Right Midfield,75.8,73.3
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,25.9,14.9
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,31.9,10.4
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,38.1,14.1
Naorem Mahesh Singh,East Bengal,Right Midfield,52.0,24.1
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,45.4,65.0
Sourav Das,East Bengal,Right Center Midfield,44.3,19.4
Seriton Fernandes,Goa,Right Wing Back,76.8,78.7
Sourav Das,East Bengal,Right Center Midfield,55.0,19.4
Naorem Mahesh Singh,East Bengal,Right Midfield,55.2,11.7
Tomislav Mrčela,East Bengal,Right Center Back,47.1,57.0
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,75.8,17.7
Saviour Gama,Goa,Left Wing Back,72.8,8.3
Glan Martins,Goa,Right Defensive Midfield,56.9,29.3
Seriton Fernandes,Goa,Right Wing Back,34.9,50.9
Antonio Perošević,East Bengal,Right Center Forward,68.5,71.6
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,102.3,56.0
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,111.9,41.2
Devendra Dhaku Murgaokar,Goa,Left Center Forward,74.3,66.9
Amir Derviševič,East Bengal,Left Center Midfield,45.8,12.6
Antonio Perošević,East Bengal,Right Center Forward,84.1,23.7
Hira Mondal,East Bengal,Left Back,56.1,7.0
Sourav Das,East Bengal,Right Center Midfield,55.7,25.6
Sourav Das,East Bengal,Right Center Midfield,41.6,40.4
Tomislav Mrčela,East Bengal,Right Center Back,36.6,42.5
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,60.4,26.3
Aibanbha Kupar Dohling,Goa,Left Center Back,24.2,14.1
Antonio Perošević,East Bengal,Right Center Forward,90.5,67.3
Tomislav Mrčela,East Bengal,Right Center Back,38.3,72.0
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,68.3,42.1
Amir Derviševič,East Bengal,Left Center Midfield,42.4,9.6
Tomislav Mrčela,East Bengal,Right Center Back,43.7,63.7
Bikash Jairu,East Bengal,Left Midfield,44.1,28.8
Bikash Jairu,East Bengal,Left Midfield,35.6,24.1
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,28.9,25.6
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,25.9,9.1
Amir Derviševič,East Bengal,Left Center Midfield,20.0,16.0
Devendra Dhaku Murgaokar,Goa,Left Center Forward,68.3,4.9
Raju Eknath Gaikwad,East Bengal,Right Back,50.8,69.7
Sourav Das,East Bengal,Right Center Midfield,38.6,69.0
Antonio Perošević,East Bengal,Right Center Forward,85.8,54.5
Raju Eknath Gaikwad,East Bengal,Right Back,57.2,72.4
Aibanbha Kupar Dohling,Goa,Left Center Back,25.9,9.8
Jorge Ortiz Mendoza,Goa,Right Center Forward,37.7,60.7
Naorem Mahesh Singh,East Bengal,Right Midfield,78.6,33.3
Naorem Mahesh Singh,East Bengal,Right Midfield,80.1,22.8
Antonio Perošević,East Bengal,Right Center Forward,87.1,28.4
Amir Derviševič,East Bengal,Left Center Midfield,82.0,25.4
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,74.9,26.7
Devendra Dhaku Murgaokar,Goa,Left Center Forward,74.3,31.6
Devendra Dhaku Murgaokar,Goa,Left Center Forward,76.8,42.1
Antonio Perošević,East Bengal,Right Center Forward,79.8,36.7
Naorem Mahesh Singh,East Bengal,Right Midfield,80.5,63.0
Bikash Jairu,East Bengal,Left Midfield,79.8,4.2
Amir Derviševič,East Bengal,Left Center Midfield,86.5,10.0
Naorem Mahesh Singh,East Bengal,Right Midfield,105.9,23.7
Antonio Perošević,East Bengal,Right Center Forward,89.7,56.6
Sourav Das,East Bengal,Right Center Midfield,80.1,55.8
Sourav Das,East Bengal,Right Center Midfield,83.1,70.3
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,82.6,74.8
Sourav Das,East Bengal,Right Center Midfield,77.7,59.4
Sourav Das,East Bengal,Right Center Midfield,46.0,30.9
Bikash Jairu,East Bengal,Left Midfield,51.4,19.4
Antonio Perošević,East Bengal,Right Center Forward,63.6,26.5
Hira Mondal,East Bengal,Left Back,41.8,21.1
Bikash Jairu,East Bengal,Left Midfield,21.7,4.6
Hira Mondal,East Bengal,Left Back,3.3,13.4
Mohamed Ali,Goa,Right Center Back,116.6,35.9
Saviour Gama,Goa,Left Wing Back,15.4,29.7
Seriton Fernandes,Goa,Right Wing Back,45.0,78.7
Glan Martins,Goa,Right Defensive Midfield,47.1,68.0
Devendra Dhaku Murgaokar,Goa,Left Center Forward,52.2,67.8
Devendra Dhaku Murgaokar,Goa,Left Center Forward,64.6,60.1
Devendra Dhaku Murgaokar,Goa,Left Center Forward,99.5,40.8
Sourav Das,East Bengal,Right Center Midfield,45.8,67.5
Naorem Mahesh Singh,East Bengal,Right Midfield,38.3,73.1
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,87.1,5.1
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,90.9,5.7
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,95.4,6.2
Glan Martins,Goa,Right Defensive Midfield,88.8,5.3
Amarjit Singh Kiyam Singh,East Bengal,Left Center Forward,113.4,54.9
Saviour Gama,Goa,Left Wing Back,74.7,9.6
Bikash Jairu,East Bengal,Left Midfield,105.1,18.3
Glan Martins,Goa,Right Defensive Midfield,31.5,60.5
Bikash Jairu,East Bengal,Left Midfield,75.4,7.9
Jorge Ortiz Mendoza,Goa,Right Center Forward,110.6,20.5
Sourav Das,East Bengal,Right Center Midfield,44.2,49.1
Seriton Fernandes,Goa,Right Wing Back,77.0,67.2
Jorge Ortiz Mendoza,Goa,Right Center Forward,85.9,67.8
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,86.8,72.2
Amir Derviševič,East Bengal,Left Center Midfield,33.3,9.9
Sourav Das,East Bengal,Right Center Midfield,35.1,11.2
Sourav Das,East Bengal,Right Center Midfield,36.9,5.4
Sourav Das,East Bengal,Right Center Midfield,34.4,4.0
Jorge Ortiz Mendoza,Goa,Right Center Forward,86.4,65.2
Iván Garrido González,Goa,Center Back,31.4,62.4
Bikash Jairu,East Bengal,Left Midfield,95.8,49.6
Naorem Mahesh Singh,East Bengal,Right Midfield,94.0,54.3
Jorge Ortiz Mendoza,Goa,Right Center Forward,35.9,27.4
Hira Mondal,East Bengal,Left Back,2.3,70.6
Hira Mondal,East Bengal,Left Back,2.3,69.6
Naorem Mahesh Singh,East Bengal,Right Midfield,26.7,32.4
Amir Derviševič,East Bengal,Left Center Midfield,19.5,24.0
Hira Mondal,East Bengal,Left Back,10.1,16.2
Mohamed Ali,Goa,Right Center Back,51.2,73.3
Antonio Perošević,East Bengal,Right Center Forward,89.8,41.2
Bikash Jairu,East Bengal,Left Midfield,92.9,7.0
Naorem Mahesh Singh,East Bengal,Right Midfield,57.9,34.6
Daniel Chima Chukwu,East Bengal,Left Center Forward,56.7,42.3
Antonio Perošević,East Bengal,Right Center Forward,40.4,29.1
Sourav Das,East Bengal,Right Center Midfield,61.2,24.6
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,47.0,5.5
Saviour Gama,Goa,Left Wing Back,39.3,5.2
Adil Khan,East Bengal,Right Center Back,68.3,57.6
Naorem Mahesh Singh,East Bengal,Right Midfield,74.0,55.4
Franjo Prce,East Bengal,Left Center Back,14.4,71.2
Naorem Mahesh Singh,East Bengal,Right Midfield,30.4,72.7
Devendra Dhaku Murgaokar,Goa,Left Center Forward,103.2,6.1
Saviour Gama,Goa,Left Wing Back,84.7,5.0
Jorge Ortiz Mendoza,Goa,Right Center Forward,73.7,5.2
Saviour Gama,Goa,Left Wing Back,78.6,6.1
Naorem Mahesh Singh,East Bengal,Right Midfield,43.6,75.2
Sourav Das,East Bengal,Right Center Midfield,72.9,26.2
Antonio Perošević,East Bengal,Right Center Forward,83.9,16.3
Mohamed Ali,Goa,Right Center Back,24.5,74.1
Iván Garrido González,Goa,Center Back,9.8,55.3
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,55.1,68.6
Bikash Jairu,East Bengal,Left Midfield,74.0,6.3
Hira Mondal,East Bengal,Left Back,63.1,5.9
Iván Garrido González,Goa,Center Back,8.2,69.2
Franjo Prce,East Bengal,Left Center Back,44.7,51.5
Naorem Mahesh Singh,East Bengal,Right Midfield,48.7,74.3
Franjo Prce,East Bengal,Left Center Back,14.4,55.7
Saviour Gama,Goa,Left Wing Back,106.5,22.5
Naorem Mahesh Singh,East Bengal,Right Midfield,20.1,74.6
Naorem Mahesh Singh,East Bengal,Right Midfield,27.8,75.6
Sourav Das,East Bengal,Right Center Midfield,19.5,75.9
Naorem Mahesh Singh,East Bengal,Right Midfield,24.8,74.3
Sourav Das,East Bengal,Right Center Midfield,20.9,72.4
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,98.9,19.4
Glan Martins,Goa,Right Defensive Midfield,80.0,43.8
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,55.1,56.4
Franjo Prce,East Bengal,Left Center Back,48.3,21.5
Iván Garrido González,Goa,Center Back,31.5,36.3
Amir Derviševič,East Bengal,Left Center Midfield,45.3,32.1
Sourav Das,East Bengal,Right Center Midfield,33.9,28.5
Daniel Chima Chukwu,East Bengal,Left Center Forward,20.8,64.1
Daniel Chima Chukwu,East Bengal,Left Center Forward,74.4,24.3
Naorem Mahesh Singh,East Bengal,Left Midfield,69.5,17.4
Sourav Das,East Bengal,Right Center Midfield,60.6,18.4
Sourav Das,East Bengal,Right Center Midfield,57.0,14.8
Sourav Das,East Bengal,Right Center Midfield,47.0,16.5
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,74.8,58.6
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,86.8,61.4
Hira Mondal,East Bengal,Left Back,31.2,10.2
Sourav Das,East Bengal,Right Center Midfield,37.5,9.0
Devendra Dhaku Murgaokar,Goa,Left Center Forward,79.8,60.6
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,74.2,56.1
Naorem Mahesh Singh,East Bengal,Left Midfield,52.0,10.2
Adil Khan,East Bengal,Right Center Back,46.4,50.4
Adil Khan,East Bengal,Right Center Back,31.9,55.2
Lalrinliana Hnamte,East Bengal,Right Midfield,33.1,52.9
Antonio Perošević,East Bengal,Right Center Forward,42.2,23.1
Naorem Mahesh Singh,East Bengal,Left Midfield,21.4,71.0
Sourav Das,East Bengal,Right Center Midfield,42.9,29.8
Glan Martins,Goa,Right Defensive Midfield,9.3,23.9
Hira Mondal,East Bengal,Left Back,16.9,11.8
Adil Khan,East Bengal,Right Center Back,10.1,14.8
Raju Eknath Gaikwad,East Bengal,Right Back,39.0,78.8
Antonio Perošević,East Bengal,Right Center Forward,72.5,76.2
Naorem Mahesh Singh,East Bengal,Left Midfield,94.7,19.5
Daniel Chima Chukwu,East Bengal,Left Center Forward,98.6,31.8
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,26.1,33.9
Sourav Das,East Bengal,Right Center Midfield,91.4,59.0
Raju Eknath Gaikwad,East Bengal,Right Back,78.9,79.1
Lalrinliana Hnamte,East Bengal,Right Midfield,92.0,77.7
Devendra Dhaku Murgaokar,Goa,Left Center Forward,37.6,4.9
Glan Martins,Goa,Right Defensive Midfield,31.7,9.4
Lalrinliana Hnamte,East Bengal,Right Midfield,49.2,52.1
Hira Mondal,East Bengal,Left Back,22.6,9.9
Hira Mondal,East Bengal,Left Back,29.3,6.1
Amir Derviševič,East Bengal,Left Center Midfield,29.5,14.8
Jorge Ortiz Mendoza,Goa,Right Center Forward,89.8,65.8
Naorem Mahesh Singh,East Bengal,Left Midfield,27.6,10.2
Amir Derviševič,East Bengal,Left Center Midfield,26.4,7.9
Adil Khan,East Bengal,Right Center Back,7.6,30.7
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,87.5,14.9
Naorem Mahesh Singh,East Bengal,Left Midfield,31.2,24.1
Seriton Fernandes,Goa,Right Wing Back,85.7,66.6
Daniel Chima Chukwu,East Bengal,Left Center Forward,58.6,23.5
Daniel Chima Chukwu,East Bengal,Left Center Forward,47.0,7.6
Sourav Das,East Bengal,Right Center Midfield,46.7,32.1
Lalrinliana Hnamte,East Bengal,Right Midfield,56.7,50.1
Sourav Das,East Bengal,Right Center Midfield,53.7,45.9
Daniel Chima Chukwu,East Bengal,Left Center Forward,64.2,37.1
Devendra Dhaku Murgaokar,Goa,Left Center Forward,113.9,45.5
Devendra Dhaku Murgaokar,Goa,Left Center Forward,117.0,52.8
Jorge Ortiz Mendoza,Goa,Right Center Forward,105.9,70.5
Naorem Mahesh Singh,East Bengal,Left Midfield,16.5,7.1
Glan Martins,Goa,Right Defensive Midfield,75.7,19.2
Glan Martins,Goa,Right Defensive Midfield,82.5,29.1
Lalrinliana Hnamte,East Bengal,Right Midfield,40.3,61.8
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,68.9,18.9
Amir Derviševič,East Bengal,Left Center Midfield,31.0,57.2
Glan Martins,Goa,Right Defensive Midfield,70.6,22.8
Naorem Mahesh Singh,East Bengal,Left Midfield,33.9,28.8
Franjo Prce,East Bengal,Left Center Back,20.0,35.9
Antonio Perošević,East Bengal,Right Center Forward,89.7,78.4
Iván Garrido González,Goa,Center Back,5.4,13.6
Lalrinliana Hnamte,East Bengal,Right Midfield,109.4,73.1
Sourav Das,East Bengal,Right Center Midfield,86.4,53.5
Adil Khan,East Bengal,Right Center Back,16.9,35.9
Raju Eknath Gaikwad,East Bengal,Right Back,15.3,46.3
Aibanbha Kupar Dohling,Goa,Left Center Back,25.9,27.1
Adil Khan,East Bengal,Right Center Back,45.9,63.1
Jorge Ortiz Mendoza,Goa,Right Center Forward,65.5,7.8
Glan Martins,Goa,Right Defensive Midfield,58.4,63.2
Lalrinliana Hnamte,East Bengal,Left Midfield,50.8,22.1
Raju Eknath Gaikwad,East Bengal,Right Back,52.7,49.4
Antonio Perošević,East Bengal,Right Midfield,37.1,75.6
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,106.7,32.2
Antonio Perošević,East Bengal,Right Midfield,52.7,71.4
Antonio Perošević,East Bengal,Right Midfield,56.5,75.4
Thongkhosiem Haokip,East Bengal,Right Center Forward,80.9,75.9
Iván Garrido González,Goa,Center Back,27.9,3.0
Iván Garrido González,Goa,Center Back,18.9,1.6
Sourav Das,East Bengal,Right Center Midfield,57.0,56.4
Joyner Lourenco,East Bengal,Right Back,46.1,64.3
Sourav Das,East Bengal,Right Center Midfield,55.3,63.5
Joyner Lourenco,East Bengal,Right Back,54.4,71.8
Adil Khan,East Bengal,Right Center Back,39.2,76.6
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,56.5,4.3
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,58.1,8.8
Thongkhosiem Haokip,East Bengal,Right Center Forward,73.5,57.1
Antonio Perošević,East Bengal,Right Midfield,63.3,76.6
Muhammed Nemil Valiyattil,Goa,Right Center Forward,110.4,44.2
Sourav Das,East Bengal,Right Center Midfield,43.9,41.1
Lalrinliana Hnamte,East Bengal,Left Midfield,37.3,12.4
Amir Derviševič,East Bengal,Left Center Midfield,38.1,14.8
Princeton Rebello,Goa,Right Defensive Midfield,86.1,64.6
Daniel Chima Chukwu,East Bengal,Left Center Forward,108.8,45.4
Nongdamba Singh Naorem,Goa,Left Center Forward,91.7,6.6
Hira Mondal,East Bengal,Left Back,52.7,11.3
Thongkhosiem Haokip,East Bengal,Right Center Forward,87.0,72.3
Joyner Lourenco,East Bengal,Right Back,44.0,64.2
Sourav Das,East Bengal,Right Center Midfield,50.3,76.8
Sourav Das,East Bengal,Right Center Midfield,51.1,78.2
Muhammed Nemil Valiyattil,Goa,Right Center Forward,101.7,32.2
Iván Garrido González,Goa,Left Center Back,26.0,4.7
Sourav Das,East Bengal,Right Center Midfield,79.5,41.1
Adil Khan,East Bengal,Right Center Back,46.6,59.8
Joyner Lourenco,East Bengal,Right Back,7.5,78.0
Antonio Perošević,East Bengal,Right Midfield,54.9,75.8
Antonio Perošević,East Bengal,Right Midfield,48.7,77.7
Joyner Lourenco,East Bengal,Right Back,50.6,77.8
Adil Khan,East Bengal,Right Center Back,16.8,74.4
Muhammed Nemil Valiyattil,Goa,Right Center Forward,93.9,22.7
Eduardo Bedia Peláez,Goa,Left Defensive Midfield,65.3,64.8
Sourav Das,East Bengal,Right Center Midfield,66.2,57.2
Sourav Das,East Bengal,Right Center Midfield,43.5,62.1
Thongkhosiem Haokip,East Bengal,Right Center Forward,71.6,62.6
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,95.0,14.0
Joyner Lourenco,East Bengal,Right Back,36.1,77.8
Hira Mondal,East Bengal,Left Back,33.1,4.8
Igor Angulo Albóniga,Mumbai City,Center Forward,80.6,40.5
Igor Angulo Albóniga,Mumbai City,Center Forward,105.1,38.5
Sourav Das,East Bengal,Center Defensive Midfield,40.8,57.6
Joyner Lourenco,East Bengal,Right Center Back,39.2,58.2
Wahengbam Angousana Luwang,East Bengal,Right Center Midfield,42.6,59.3
Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,42.6,5.8
Ahmed Jahouh,Mumbai City,Left Defensive Midfield,37.9,6.6
Vignesh Dakshinamurthy,Mumbai City,Left Back,35.0,3.6
Daniel Chima Chukwu,East Bengal,Center Forward,106.2,61.5
Lalrinliana Hnamte,East Bengal,Right Midfield,100.8,66.6
Daniel Chima Chukwu,East Bengal,Center Forward,103.4,63.2
Lalrinliana Hnamte,East Bengal,Right Midfield,108.4,76.2
Thongkhosiem Haokip,East Bengal,Left Center Midfield,85.4,28.5
Bipin Singh Thounajam,Mumbai City,Left Wing,21.2,10.2
Ahmed Jahouh,Mumbai City,Left Defensive Midfield,20.4,13.0
Bipin Singh Thounajam,Mumbai City,Left Wing,22.2,12.8
Lalrinliana Hnamte,East Bengal,Right Midfield,93.7,58.1
Joyner Lourenco,East Bengal,Right Center Back,83.4,62.4
Adil Khan,East Bengal,Left Center Back,20.8,76.3
Rahul Bheke,Mumbai City,Left Center Back,50.0,3.6
Ahmed Jahouh,Mumbai City,Left Defensive Midfield,51.1,4.5
Sourav Das,East Bengal,Center Defensive Midfield,58.1,18.8
Sourav Das,East Bengal,Center Defensive Midfield,12.8,66.3
Amarjit Singh Kiyam Singh,East Bengal,Right Back,10.8,79.1
Amarjit Singh Kiyam Singh,East Bengal,Right Back,6.9,66.8
Amarjit Singh Kiyam Singh,East Bengal,Right Back,12.2,75.7
Sourav Das,East Bengal,Center Defensive Midfield,63.3,33.4
Wahengbam Angousana Luwang,East Bengal,Right Center Midfield,57.5,37.0
Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,78.4,55.2
Amey Ganesh Ranawade,Mumbai City,Right Back,55.9,75.6
Amey Ganesh Ranawade,Mumbai City,Right Back,63.1,71.6
Thongkhosiem Haokip,East Bengal,Left Center Midfield,86.1,26.6
Amarjit Singh Kiyam Singh,East Bengal,Right Back,32.5,74.5
Lalrinliana Hnamte,East Bengal,Right Midfield,40.9,75.9
Wahengbam Angousana Luwang,East Bengal,Right Center Midfield,33.1,63.8
Wahengbam Angousana Luwang,East Bengal,Right Center Midfield,44.0,68.4
Lalengmawia Ralte,Mumbai City,Right Defensive Midfield,41.4,58.6
Raynier Fernandes,Mumbai City,Right Wing,45.7,70.8
Thongkhosiem Haokip,East Bengal,Left Center Midfield,82.0,7.0
Sourav Das,East Bengal,Center Defensive Midfield,62.5,9.6
Wahengbam Angousana Luwang,East Bengal,Right Center Midfield,66.2,35.1
Thongkhosiem Haokip,East Bengal,Left Center Midfield,64.7,19.5
Wahengbam Angousana Luwang,East Bengal,Right Center Midfield,62.9,41.3
Joyner Lourenco,East Bengal,Right Center Back,9.4,70.1
Ahmed Jahouh,Mumbai City,Left Defensive Midfield,80.9,43.6
Sourav Das,East Bengal,Center Defensive Midfield,61.7,9.9
Sourav Das,East Bengal,Center Defensive Midfield,45.3,14.8
Igor Angulo Albóniga,Mumbai City,Center Forward,107.3,45.0
Lalrinliana Hnamte,East Bengal,Right Midfield,45.4,58.7
Hira Mondal,East Bengal,Left Back,15.3,40.6
Sourav Das,East Bengal,Center Defensive Midfield,19.2,41.2
Rahul Bheke,Mumbai City,Left Center Back,32.9,27.7
Lalengmawia Ralte,Mumbai City,Right Defensive Midfield,38.9,28.3
Raynier Fernandes,Mumbai City,Right Wing,33.6,56.1
Thongkhosiem Haokip,East Bengal,Left Center Midfield,86.5,14.5
Hira Mondal,East Bengal,Left Back,45.0,12.9
Adil Khan,East Bengal,Left Center Back,14.0,13.7
Hira Mondal,East Bengal,Left Back,8.7,18.8
Amey Ganesh Ranawade,Mumbai City,Right Back,67.9,54.2
Amey Ganesh Ranawade,Mumbai City,Right Back,14.3,69.2
Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,82.6,22.2
Igor Angulo Albóniga,Mumbai City,Center Forward,105.9,39.7
Raynier Fernandes,Mumbai City,Right Wing,86.4,59.1
